"mod_peche";"a";"age_classe";"cat_pro.gp";"sexe";"res_tour";"poss_bat";"Temps_peche_effectif.cat2h";"time.day.gp";"zone.gp";"nb_sort_an_cat";"dep.mod_peche.chr"
"peche du bord";"2020";"50-59";"activite";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"40-49";"activite";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q1 (<=10)";"< 100 euros"
"chasse sous-marine";"2020";"25-39";"sans_emploi-en_arret";"homme";"resident";"non";">=2h";"am";"Est Cap";"Q2 (11-15)";"entre 100-500 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"occasionnel";"non";">=2h";"am";"Est Cap";"Q1 (<=10)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";">=2h";"am";"Est Cap";"Q2 (11-15)";"entre 100-500 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"occasionnel";"non";"<2h";"am";"Est Cap";"Q1 (<=10)";"< 100 euros"
"peche du bord";"2020";"25-39";"activite";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q2 (11-15)";"entre 100-500 euros"
"peche du bord";"2020";"25-39";"activite";"homme";"occasionnel";"non";"<2h";"am";"Est Cap";"Q1 (<=10)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";">=2h";"am";"Ouest Cap";"Q2 (11-15)";"< 100 euros"
"chasse sous-marine";"2020";"40-49";"activite";"homme";"occasionnel";"non";">=2h";"am";"Ouest Cap";"Q1 (<=10)";"entre 100-500 euros"
"peche du bord";"2020";"40-49";"sans_emploi-en_arret";"homme";"resident";"non";">=2h";"am";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"50-59";"activite";"homme";"resident";"non";">=2h";"am";"Est Cap";"Q2 (11-15)";"< 100 euros"
"chasse sous-marine";"2020";"40-49";"activite";"femme";"occasionnel";"non";">=2h";"am";"Est Cap";"Q1 (<=10)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q3 (16-30)";"< 100 euros"
"peche du bord";"2020";"40-49";"sans_emploi-en_arret";"homme";"resident";"non";"<2h";"pm";"Est Cap";"Q1 (<=10)";"< 100 euros"
"peche du bord";"2020";"25-39";"activite";"homme";"occasionnel";"non";"<2h";"pm";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"40-49";"sans_emploi-en_arret";"homme";"resident";"non";"<2h";"pm";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"40-49";"activite";"homme";"resident";"non";"<2h";"pm";"Est Cap";"Q2 (11-15)";"< 100 euros"
"chasse sous-marine";"2020";"25-39";"activite";"homme";"resident";"non";">=2h";"pm";"Est Cap";"Q2 (11-15)";"entre 100-500 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";">=2h";"am";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche du bord";"2020";"40-49";"activite";"homme";"occasionnel";"non";"<2h";"am";"Saint-Florent";"Q1 (<=10)";"< 100 euros"
"peche du bord";"2020";"50-59";"retraite";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche embarquée";"2020";"40-49";"activite";"homme";"resident";"oui";"<2h";"am";"Saint-Florent";"Q1 (<=10)";"entre 100-500 euros"
"peche embarquée";"2020";"50-59";"activite";"homme";"resident";"oui";"<2h";"am";"Saint-Florent";"Q1 (<=10)";"entre 1000-2000 euros"
"chasse sous-marine";"2020";"25-39";"activite";"homme";"resident";"non";"<2h";"am";"Est Cap";"Q2 (11-15)";"entre 100-500 euros"
"peche embarquée";"2020";"50-59";"retraite";"homme";"secondaire";"oui";"<2h";"am";"Est Cap";"Q2 (11-15)";"< 100 euros"
"peche embarquée";"2020";"40-49";"activite";"homme";"occasionnel";"oui";"<2h";"am";"nimp_ou";"Q2 (11-15)";"supérieur à 2000"
"peche embarquée";"2021";"50-59";"activite";"homme";"resident";"oui";"<2h";"nimp_q";"Est Cap";"Q4 (>=31)";"entre 1000-2000 euros"
"peche embarquée";"2021";"50-59";"sans_emploi-en_arret";"homme";"resident";"oui";">=2h";"am";"Est Cap";"Q4 (>=31)";"supérieur à 2000"
"peche embarquée";"2021";"25-39";"activite";"homme";"resident";"oui";">=2h";"am";"Ouest Cap";"Q3 (16-30)";"entre 100-500 euros"
"peche embarquée";"2021";"40-49";"activite";"homme";"resident";"oui";">=2h";"am";"nimp_ou";"Q2 (11-15)";"supérieur à 2000"
"peche embarquée";"2021";"50-59";"retraite";"homme";"resident";"non";">=2h";"nimp_q";"nimp_ou";"Q3 (16-30)";"supérieur à 2000"
"peche embarquée";"2021";"40-49";"activite";"homme";"resident";"non";">=2h";"am";"nimp_ou";"Q3 (16-30)";"supérieur à 2000"
"peche embarquée";"2021";"25-39";"activite";"homme";"resident";"oui";">=2h";"nimp_q";"nimp_ou";"Q4 (>=31)";"supérieur à 2000"
"peche embarquée";"2021";"25-39";"activite";"homme";"resident";"oui";">=2h";"am";"nimp_ou";"Q4 (>=31)";"supérieur à 2000"
"peche embarquée";"2021";"50-59";"retraite";"homme";"resident";"oui";"<2h";"nimp_q";"nimp_ou";"Q3 (16-30)";"entre 500-1000 euros"
"peche embarquée";"2021";"40-49";"activite";"homme";"resident";"oui";"<2h";"nimp_q";"nimp_ou";"Q4 (>=31)";"entre 1000-2000 euros"
"peche embarquée";"2021";"25-39";"activite";"homme";"resident";"oui";">=2h";"journee";"nimp_ou";"Q3 (16-30)";"entre 1000-2000 euros"
